count,data
467, 0  ms,  0  mm,  0  dBm 
468, 0  ms,  0  mm,  0  dBm 
469, 0  ms,  0  mm,  0  dBm 
470, 0  ms,  0  mm,  0  dBm 
471, 0  ms,  0  mm,  0  dBm 
472, 0  ms,  0  mm,  0  dBm 
473, 0  ms,  0  mm,  0  dBm 
474, 0  ms,  0  mm,  0  dBm 
475, 0  ms,  0  mm,  0  dBm 
476, 0  ms,  0  mm,  0  dBm 
477, 0  ms,  0  mm,  0  dBm 
478, 0  ms,  0  mm,  0  dBm 
479, 0  ms,  0  mm,  0  dBm 
480, 74234  ms,  367  mm,  -79  dBm 
481, 0  ms,  0  mm,  0  dBm 
482, 0  ms,  0  mm,  0  dBm 
483, 74574  ms,  381  mm,  -79  dBm 
484, 0  ms,  0  mm,  0  dBm 
485, 0  ms,  0  mm,  0  dBm 
486, 0  ms,  0  mm,  0  dBm 
487, 0  ms,  0  mm,  0  dBm 
488, 0  ms,  0  mm,  0  dBm 
489, 0  ms,  0  mm,  0  dBm 
490, 0  ms,  0  mm,  0  dBm 
491, 0  ms,  0  mm,  0  dBm 
492, 0  ms,  0  mm,  0  dBm 
493, 0  ms,  0  mm,  0  dBm 
494, 0  ms,  0  mm,  0  dBm 
495, 0  ms,  0  mm,  0  dBm 
496, 0  ms,  0  mm,  0  dBm 
497, 0  ms,  0  mm,  0  dBm 
498, 0  ms,  0  mm,  0  dBm 
499, 0  ms,  0  mm,  0  dBm 
500, 0  ms,  0  mm,  0  dBm 
501, 0  ms,  0  mm,  0  dBm 
502, 0  ms,  0  mm,  0  dBm 
503, 0  ms,  0  mm,  0  dBm 
504, 0  ms,  0  mm,  0  dBm 
505, 0  ms,  0  mm,  0  dBm 
506, 0  ms,  0  mm,  0  dBm 
507, 0  ms,  0  mm,  0  dBm 
508, 0  ms,  0  mm,  0  dBm 
509, 0  ms,  0  mm,  0  dBm 
510, 0  ms,  0  mm,  0  dBm 
511, 0  ms,  0  mm,  0  dBm 
512, 0  ms,  0  mm,  0  dBm 
513, 0  ms,  0  mm,  0  dBm 
514, 0  ms,  0  mm,  0  dBm 
515, 0  ms,  0  mm,  0  dBm 
516, 0  ms,  0  mm,  0  dBm 
517, 0  ms,  0  mm,  0  dBm 
518, 0  ms,  0  mm,  0  dBm 
519, 0  ms,  0  mm,  0  dBm 
520, 0  ms,  0  mm,  0  dBm 
521, 0  ms,  0  mm,  0  dBm 
522, 0  ms,  0  mm,  0  dBm 
523, 0  ms,  0  mm,  0  dBm 
524, 0  ms,  0  mm,  0  dBm 
525, 0  ms,  0  mm,  0  dBm 
526, 0  ms,  0  mm,  0  dBm 
527, 0  ms,  0  mm,  0  dBm 
528, 0  ms,  0  mm,  0  dBm 
529, 0  ms,  0  mm,  0  dBm 
530, 0  ms,  0  mm,  0  dBm 
531, 0  ms,  0  mm,  0  dBm 
532, 0  ms,  0  mm,  0  dBm 
533, 0  ms,  0  mm,  0  dBm 
534, 0  ms,  0  mm,  0  dBm 
535, 0  ms,  0  mm,  0  dBm 
536, 0  ms,  0  mm,  0  dBm 
537, 0  ms,  0  mm,  0  dBm 
538, 0  ms,  0  mm,  0  dBm 
539, 0  ms,  0  mm,  0  dBm 
540, 0  ms,  0  mm,  0  dBm 
541, 0  ms,  0  mm,  0  dBm 
542, 0  ms,  0  mm,  0  dBm 
543, 0  ms,  0  mm,  0  dBm 
544, 0  ms,  0  mm,  0  dBm 
545, 0  ms,  0  mm,  0  dBm 
546, 0  ms,  0  mm,  0  dBm 
547, 0  ms,  0  mm,  0  dBm 
548, 0  ms,  0  mm,  0  dBm 
549, 0  ms,  0  mm,  0  dBm 
550, 0  ms,  0  mm,  0  dBm 
551, 0  ms,  0  mm,  0  dBm 
552, 0  ms,  0  mm,  0  dBm 
553, 0  ms,  0  mm,  0  dBm 
554, 77078  ms,  339  mm,  -78  dBm 
555, 0  ms,  0  mm,  0  dBm 
556, 0  ms,  0  mm,  0  dBm 
557, 0  ms,  0  mm,  0  dBm 
558, 0  ms,  0  mm,  0  dBm 
559, 0  ms,  0  mm,  0  dBm 
560, 0  ms,  0  mm,  0  dBm 
561, 0  ms,  0  mm,  0  dBm 
562, 0  ms,  0  mm,  0  dBm 
563, 0  ms,  0  mm,  0  dBm 
564, 0  ms,  0  mm,  0  dBm 
565, 0  ms,  0  mm,  0  dBm 
566, 0  ms,  0  mm,  0  dBm 
567, 0  ms,  0  mm,  0  dBm 
568, 0  ms,  0  mm,  0  dBm 
569, 0  ms,  0  mm,  0  dBm 
570, 0  ms,  0  mm,  0  dBm 
571, 0  ms,  0  mm,  0  dBm 
572, 0  ms,  0  mm,  0  dBm 
573, 0  ms,  0  mm,  0  dBm 
574, 0  ms,  0  mm,  0  dBm 
575, 0  ms,  0  mm,  0  dBm 
576, 0  ms,  0  mm,  0  dBm 
577, 0  ms,  0  mm,  0  dBm 
578, 0  ms,  0  mm,  0  dBm 
579, 0  ms,  0  mm,  0  dBm 
580, 0  ms,  0  mm,  0  dBm 
581, 0  ms,  0  mm,  0  dBm 
582, 0  ms,  0  mm,  0  dBm 
583, 0  ms,  0  mm,  0  dBm 
584, 0  ms,  0  mm,  0  dBm 
585, 0  ms,  0  mm,  0  dBm 
586, 0  ms,  0  mm,  0  dBm 
587, 0  ms,  0  mm,  0  dBm 
588, 0  ms,  0  mm,  0  dBm 
589, 0  ms,  0  mm,  0  dBm 
590, 0  ms,  0  mm,  0  dBm 
591, 0  ms,  0  mm,  0  dBm 
592, 0  ms,  0  mm,  0  dBm 
593, 0  ms,  0  mm,  0  dBm 
594, 0  ms,  0  mm,  0  dBm 
595, 0  ms,  0  mm,  0  dBm 
596, 0  ms,  0  mm,  0  dBm 
597, 0  ms,  0  mm,  0  dBm 
598, 0  ms,  0  mm,  0  dBm 
599, 0  ms,  0  mm,  0  dBm 
600, 0  ms,  0  mm,  0  dBm 
601, 0  ms,  0  mm,  0  dBm 
602, 0  ms,  0  mm,  0  dBm 
603, 78985  ms,  381  mm,  -78  dBm 
604, 79264  ms,  414  mm,  -79  dBm 
605, 79450  ms,  404  mm,  -79  dBm 
606, 79637  ms,  372  mm,  -78  dBm 
